Family,Genus,SpecificEpithet,SubspecificEpithet,InfraspecificEpithet,InfraspecificRank,Authorship
Geometridae,Lycia,pomonaria,,,,"(H\u00fcbner, 1790)"
Geometridae,Lycia,zonaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Lycophotia,erythrina,,,,"(Herrich-Sch\u00e4ffer, 1852)"
Noctuidae,Lycophotia,molothina,,,,"Esper, 1789"
Noctuidae,Lycophotia,porphyrea,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Lygephila,craccae,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Lygephila,lusoria,,,,"(Linnaeus, 1758)"
Noctuidae,Lygephila,pastinum,,,,"(Treitschke, 1826)"
Noctuidae,Lygephila,procax,,,,"(H\u00fcbner, 1813)"
Noctuidae,Lygephila,viciae,,,,"(H\u00fcbner, 1822)"
Lymantriidae,Lymantria,dispar,,,,"(Linnaeus, 1758)"
Lymantriidae,Lymantria,monacha,,,,"(Linnaeus, 1758)"
Lycaenidae,Lysandra,bellargus,,,,"(Rottemburg, 1775)"
Lycaenidae,Lysandra,coridon,,,,"(Poda, 1761)"
Geometridae,Lythria,plumularia,,,,"(Freyer, 1831)"
Geometridae,Lythria,purpuraria,,,,"(Linnaeus, 1758)"
Geometridae,Macaria,alternata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Macaria,artesiaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Macaria,carbonaria,,,,"(Clerck, 1759)"
Geometridae,Macaria,liturata,,,,"(Clerck, 1759)"
Geometridae,Macaria,notata,,,,"(Linnaeus, 1758)"
Geometridae,Macaria,signaria,,,,"(H\u00fcbner, 1809)"
Geometridae,Macaria,wauaria,,,,"(Linnaeus, 1758)"
Noctuidae,Macdunnoughia,confusa,,,,"(Stephens, 1850)"
Noctuidae,Macrochilo,cribrumalis,,,,"(H\u00fcbner, 1793)"
Sphingidae,Macroglossum,stellatarum,,,,"(Linnaeus, 1758)"
Lasiocampidae,Macrothylacia,rubi,,,,"(Linnaeus, 1758)"
Lycaenidae,Maculinea,alcon,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Maculinea,arcas,,,,"(Rottemburg, 1775)"
Lycaenidae,Maculinea,arion,,,,"(Linnaeus, 1758)"
Lycaenidae,Maculinea,nausithous,,,,"(Bergstr\u00e4sser, 1779)"
Lycaenidae,Maculinea,rebeli,,,,"(Hirschke, 1904)"
Lycaenidae,Maculinea,teleius,,,,"(Bergstr\u00e4sser, 1779)"
Lasiocampidae,Malacosoma,alpicola,,,,"Staudinger, 1870"
Lasiocampidae,Malacosoma,castrensis,,,,"(Linnaeus, 1758)"
Lasiocampidae,Malacosoma,franconica,,,,"(Esper, 1784)"
Lasiocampidae,Malacosoma,neustria,,,,"(Linnaeus, 1758)"
Noctuidae,Mamestra,brassicae,,,,"(Linnaeus, 1758)"
Noctuidae,Mamestra,ranunculinae,,,,"(Haworth, 1809)"
Nymphalidae,Maniola,jurtina,,,,"(Linnaeus, 1758)"
Sphingidae,Marumba,quercus,,,,"(Denis & Schifferm\u00fcller, 1775)"
Psychidae,Megalophanes,turatii,,,,"(Staudinger, 1877)"
Psychidae,Megalophanes,viciella,,,,"Denis & Schifferm\u00fcller, 1775"
Noctuidae,Meganephria,bimaculosa,,,,"(Linnaeus, 1767)"
Nolidae,Meganola,albula,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nolidae,Meganola,strigula,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nolidae,Meganola,togatulalis,,,,"(H\u00fcbner, 1796)"
Nymphalidae,Melanargia,galathea,,,,"(Linnaeus, 1758)"
Noctuidae,Melanchra,persicariae,,,,"(Linnaeus, 1761)"
Noctuidae,Melanchra,pisi,,,,"(Linnaeus, 1758)"
Geometridae,Melanthia,alaudaria,,,,"(Freyer, 1846)"
Geometridae,Melanthia,procellata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Meleageria,daphnis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Meleageria,meleager,,,,"(Esper, 1779)"
Nymphalidae,Melitaea,asteria,,,,"Freyer, 1828"
